entity_type,name,alias_names,animagus,blood_status,boggart,gender,house,jobs,patronus,romances,species,titles,weight,entity_id,category,creator,effect,hand,incantation,light,characteristics,difficulty,inventors,ingredients,manufacturers,side_effects,time,title
characters,1980s Hogwarts Gobstones Tournament champion,[],,Pure-blood or half-blood,,Male,Hufflepuff,[],,[],Human,[],,6ce92f2b-2bca-49e6-a696-ddde6f555066,,,,,,,,,,,,,,
characters,1980s Hogwarts Gobstones Tournament champion's parents,[],,,,"Male, female",,[],,[],Human,[],,50f2b731-ea8f-4039-861f-c722900ae3a1,,,,,,,,,,,,,,
characters,1992 Gryffindor vs Slytherin Quidditch match spectators,[],,,,,,[],,[],,[],,26655e50-3b75-45e5-8c4a-f5dac6a4bf99,,,,,,,,,,,,,,
characters,1996 Gryffindor Quidditch Keeper trials spectators,[],,,,,,[],,[],,[],,1454972d-3494-4772-9f25-2adf8901e857,,,,,,,,,,,,,,
characters,2-Headed Baby,[],,,,Male (most likely),,['Circus performers'],,[],Human,[],,9ffbaf9a-dcbf-41bc-bacd-68f91f5f2208,,,,,,,,,,,,,,
characters,8-year-old Muggle girl,[],,Muggle,,Female,,[],,[],Human,[],,7df765c2-3c25-4ea4-b180-af1e84a6ba65,,,,,,,,,,,,,,
characters,A,[],,,,,,[],,['T'],Human,[],,8b824c10-f47a-4a73-88c6-8b6857a3ed14,,,,,,,,,,,,,,
characters,Aamir Loonat,[],,,,Male,Gryffindor,[],,[],Human,[],,c40530d0-921c-4452-b377-d8f792dc7440,,,,,,,,,,,,,,
characters,Aaron the Abhorrent,['A. A'],,,,Male,,[],,[],,[],,a6775220-b749-40a4-98f6-fa58f5f71b47,,,,,,,,,,,,,,
characters,Abbott,[],,Pure-blood (possibly),,,,[],,[],,[],,5ff7672e-1be1-458c-8848-e95345dda687,,,,,,,,,,,,,,
characters,A. Béliveau,[],,,,Female,,['Perfumier'],,[],Human,['Mademoiselle'],,1fc5758c-f472-4ab0-8666-a5ec8f378b41,,,,,,,,,,,,,,
characters,Abel Treetops,[],,,,Male,,['Con artist'],,[],Human,[],,d5752a00-05ed-4087-ac6e-e76e3e23ac92,,,,,,,,,,,,,,
characters,Aberforth Dumbledore,['Ab'],,Half-blood,,Male,Gryffindor,"[""Owner and Barman of the Hog's Head Inn""]",Goat,['Ex-lover'],Human,[],,9392dd48-124c-4075-bea5-4ef60a6e5816,,,,,,,,,,,,,,
characters,Abernathy,[],,,,Male,,['Supervisor for the Wand Permit Office (formerly)'],,[],Human,[],,3efd176e-e7a9-48a7-b38d-0e49e63976c2,,,,,,,,,,,,,,
characters,Abigail Grey,[],,Half-blood,,Female,Gryffindor,[],Wolf,[],Human (werewolf),[],,f321d503-2e13-488c-b409-a080483acfab,,,,,,,,,,,,,,
characters,Abigail Nicola,[],,,,Female,Gryffindor,[],,[],Human,[],,4a5f862c-1d15-48fe-ab29-98321a20e75f,,,,,,,,,,,,,,
characters,Abigail Pugh,[],,,,Female,Slytherin,[],,[],Human,[],,0865f780-f2f5-4469-a73f-1e53ab0653d0,,,,,,,,,,,,,,
characters,Abigail R. Cankus,[],,,,Female,,['Author'],,[],Human,[],,3ff25cf7-7e55-4b30-89dd-0eab2bc4adfb,,,,,,,,,,,,,,
characters,Able Fleming,[],,,,Male,,['President of the Magical Congress of the United States of America (c. 1770s-?)'],,[],Human,['President'],,6b10fc0b-ef75-4375-9c16-2adc63b9d358,,,,,,,,,,,,,,
characters,Able Spudmore,[],,,,Male,,['Broom-maker'],,[],Human,[],,c61565a7-df98-4bec-8d09-2679e1bb76a3,,,,,,,,,,,,,,
characters,Abraham,[],,,,Male,,[],,[],Human,[],,596c3191-531e-41e8-8bb6-52ccadf8ffe4,,,,,,,,,,,,,,
characters,Abraham Grimblehawk,[],,Half-blood,,Male,Hufflepuff,[],,[],Human,[],,548b892c-612e-4bf5-b433-1d3741672767,,,,,,,,,,,,,,
characters,Abraham Leslie McCracken,[],,,,Male,,['Captain'],,[],Human,[],,c40219f6-96a5-4bf9-8433-fb35898b41ea,,,,,,,,,,,,,,
characters,Abraham Peasegood,[],,,,Male,,[],,[],Human,[],,58ff6b29-1087-478a-bef7-77ae0229e91a,,,,,,,,,,,,,,
characters,Abraham Potter,[],,Pure-blood or half-blood,,Male,,['Auror'],,[],Human,[],,0199e090-86a9-4c29-a77e-a817c53fbc16,,,,,,,,,,,,,,
characters,Abraham Ronen,[],,Pure-blood or half-blood,,Male,Slytherin,"['Charms Master at Hogwarts School of Witchcraft and Wizardry', 'Head of Slytherin House at Hogwarts School of Witchcraft and Wizardry']",,[],Human,"['Professor', 'Charms Master', 'Head of Slytherin House']",,9aa1c62d-b8a1-435b-b179-e1ef20b3d679,,,,,,,,,,,,,,
characters,Abraham Ronen's father,[],,,,Male,,[],,[],Human,[],,eedea668-77d2-414b-a399-e8023fde9fd7,,,,,,,,,,,,,,
characters,Abraxan at the Magical Creatures Reserve,[],,,,,,[],,[],Abraxan,[],,e0a7173c-77bd-4a9e-b60f-5eda4998033f,,,,,,,,,,,,,,
characters,Abraxas Malfoy,[],,Pure-blood,,Male,Slytherin,[],,[],Human,[],,89ddb913-4055-433a-ba64-2b10be424d47,,,,,,,,,,,,,,
characters,Aceline Faure,[],,,,,,[],,[],Human,[],,01892d87-11d8-4f94-85e5-93d5f4737fa1,,,,,,,,,,,,,,
characters,A. Chanter,[],,,,,,['Reporter for Le Cri de la Gargouille'],,[],Human,[],,e0ff548d-1817-4677-8930-e0a69017ebe6,,,,,,,,,,,,,,
characters,Achilles Tolliver,[],,,,Male,,['Auror'],,['Porpentina Goldstein (dated)'],Human,[],,7cc950c6-0650-4745-8bb0-9ac5331979e4,,,,,,,,,,,,,,
