name,gender,job,house,patronus,species,blood_status,loyalty,skills,birth,death,source,incantation,type,effect,characteristics,alias_names,titles,category,hand,light,difficulty,inventors,ingredients,side_effects,time,title
Albus Percival Wulfric Brian Dumbledore,Male,Headmaster,Gryffindor,Phoenix,Human,Half-blood,Dumbledore's Army | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry,Considered by many to be one of the most powerful wizards of his time,Late August 1881,"30 June, 1997 ",characters,,,,,,,,,,,,,,,
Quirinus Quirrell,Male,Defence Against the Dark Arts(1991-1992),Ravenclaw,Non-corporeal,Human,Half-blood,Lord Voldemort,Learned in the theory of Defensive Magic| less adept in the practise,"26 September,1970 or earlier",4 June 1992,characters,,,,,,,,,,,,,,,
Fred Weasley,Male,Student,Gryffindor,Unknown,Human,Pure-blood,Dumbledore's Army | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry,Beater,"1 April, 1978 ","2 May, 1998",characters,,,,,,,,,,,,,,,
Nymphadora Tonks,Female,Auror,Hufflepuff,"Jack rabbit, Wolf",Human,Half-blood,Ministry of Magic | Order of the Phoenix,"Talented Auror, Metamorphmagus", 1 September 1972- 31 August 1973,"2 May, 1998",characters,,,,,,,,,,,,,,,
Lavender Brown,Female,Student,Gryffindor,Unknown,Human,Pure-blood,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Divination, 1 September 1979- 31 August 1980,"2 May, 1998",characters,,,,,,,,,,,,,,,
Remus John Lupin,Male,Professor of Defence Against the Dark Arts ,Gryffindor,Wolf,Werewolf,Half-blood,Order of the Phoenix,Exceptionally gifted in Defence Against the Dark Arts,"10 March, 1960","2 May, 1998",characters,,,,,,,,,,,,,,,
Colin Creevey,Male,Student,Gryffindor,Unknown,Human,Muggle-born,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Photography, 3 May - 31 August 1981,"2 May, 1998",characters,,,,,,,,,,,,,,,
Harry James Potter,Male,Student,Gryffindor,Stag,Human,Half-blood,Albus Dumbledore | Dumbledore's Army | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry,Parseltongue| Defence Against the Dark Arts | Seeker,31 July 1980,,characters,,,,,,,,,,,,,,,
Dolores Jane Umbridge,Female,Professor of Defence Against the Dark Arts | Department of Magical Law Enforcement,Slytherin,Cat,Human,Half-blood,Ministry of Magic,Her punishment quill is of her own invention,26 August,,characters,,,,,,,,,,,,,,,
Tom Marvolo Riddle,Male,Student,Slytherin,Unknown,Human,Half-blood,,"Dark Lord, Outstanding manipulation, Parseltongue, Heir of Slytherin, Dark magic, Inferi creation and control",31 December 1926,"2 May, 1998",characters,,,,,,,,,,,,,,,
Fleur Isabelle Delacour,Female,Part-time at Gringotts Wizarding Bank,Beauxbatons Academy of Magic,Non-corporeal,Human,Quarter-Veela,Order of the Phoenix,"part Veela, and therefore possesses some of their magical powers. She was also selected to compete in the Triwizard Tournament","Pre 30 October, 1977",,characters,,,,,,,,,,,,,,,
Lucius Malfoy,Male,School Governor,Slytherin,Unknown,Human,Pure-blood,Lord Voldemort  | Death Eaters,Skilled duellist and potioneer,c. 1954,,characters,,,,,,,,,,,,,,,
