entity_type,name,slug,alias_names,animagus,blood_status,boggart,born,died,eye_color,family_members,gender,hair_color,height,house,image,jobs,marital_status,nationality,patronus,romances,skin_color,species,titles,wands,weight,wiki,entity_id,category,creator,effect,hand,incantation,light,characteristics,difficulty,inventors,ingredients,manufacturers,side_effects,time,author,cover,dedication,pages,release_date,summary,title
characters,1980s Hogwarts Gobstones Tournament champion,1980s-hogwarts-gobstones-tournament-champion,[],,Pure-blood or half-blood,,Between 1 September 1971 and 31 August 1972,"c. 1986 or after (aged 14 at least), Great Lake, Hogwarts School of Witchcraft and Wizardry",Green,['Parents'],Male,Black,,Hufflepuff,https://static.wikia.nocookie.net/harrypotter/images/5/57/Huff_boy_FR4_MA.jpg,[],,British or Irish,,[],White,Human,[],[],,https://harrypotter.fandom.com/wiki/1980s_Hogwarts_Gobstones_Tournament_champion,6ce92f2b-2bca-49e6-a696-ddde6f555066,,,,,,,,,,,,,,,,,,,,
characters,1980s Hogwarts Gobstones Tournament champion's parents,1980s-hogwarts-gobstones-tournament-champion-s-parents,[],,,,,,,['Son'],"Male, female",,,,,[],Married,,,[],,Human,[],[],,https://harrypotter.fandom.com/wiki/1980s_Hogwarts_Gobstones_Tournament_champion's_parents,50f2b731-ea8f-4039-861f-c722900ae3a1,,,,,,,,,,,,,,,,,,,,
characters,1992 Gryffindor vs Slytherin Quidditch match spectators,1992-gryffindor-vs-slytherin-quidditch-match-spectators,[],,,,,,,[],,,,,,[],,,,[],,,[],[],,https://harrypotter.fandom.com/wiki/1992_Gryffindor_vs_Slytherin_Quidditch_match_spectators,26655e50-3b75-45e5-8c4a-f5dac6a4bf99,,,,,,,,,,,,,,,,,,,,
characters,1996 Gryffindor Quidditch Keeper trials spectators,1996-gryffindor-quidditch-keeper-trials-spectators,[],,,,,,,[],,,,,,[],,,,[],,,[],[],,https://harrypotter.fandom.com/wiki/1996_Gryffindor_Quidditch_Keeper_trials_spectators,1454972d-3494-4772-9f25-2adf8901e857,,,,,,,,,,,,,,,,,,,,
characters,2-Headed Baby,2-headed-baby,[],,,,Before 1927,,,[],Male (most likely),,,,https://static.wikia.nocookie.net/harrypotter/images/a/a6/2HeadedBaby.jpg,['Circus performers'],,,,[],,Human,[],[],,https://harrypotter.fandom.com/wiki/2-Headed_Baby,9ffbaf9a-dcbf-41bc-bacd-68f91f5f2208,,,,,,,,,,,,,,,,,,,,
characters,8-year-old Muggle girl,unidentified-8-year-old-muggle-girl,[],,Muggle,,1983,,,[],Female,,,,,[],,,,[],,Human,[],[],,https://harrypotter.fandom.com/wiki/Unidentified_8-year-old_Muggle_girl,7df765c2-3c25-4ea4-b180-af1e84a6ba65,,,,,,,,,,,,,,,,,,,,
characters,A,a-individual,[],,,,Between 963 and 1879,,,[],,,,,,[],,British or Irish,,['T'],,Human,[],[],,https://harrypotter.fandom.com/wiki/A_(individual),8b824c10-f47a-4a73-88c6-8b6857a3ed14,,,,,,,,,,,,,,,,,,,,
characters,Aamir Loonat,aamir-loonat,[],,,,31 August 1982 or earlier,,,[],Male,,,Gryffindor,https://static.wikia.nocookie.net/harrypotter/images/c/cd/Aamir_Loonat.png,[],,British or Irish,,[],,Human,[],[],,https://harrypotter.fandom.com/wiki/Aamir_Loonat,c40530d0-921c-4452-b377-d8f792dc7440,,,,,,,,,,,,,,,,,,,,
characters,Aaron the Abhorrent,aaron-the-abhorrent,['A. A'],,,,Before the 2010s.,,,[],Male,,,,,[],,,,[],,,[],[],,https://harrypotter.fandom.com/wiki/Aaron_the_Abhorrent,a6775220-b749-40a4-98f6-fa58f5f71b47,,,,,,,,,,,,,,,,,,,,
characters,Abbott,abbott,[],,Pure-blood (possibly),,,"Before 24 December, 1997",,"['Hannah Abbott (possibly)', ""Hannah Abbott's mother (possibly)"", 'Giffard Abbott (possibly)', 'Abbott family']",,,,,,[],,,,[],,,[],[],,https://harrypotter.fandom.com/wiki/Abbott,5ff7672e-1be1-458c-8848-e95345dda687,,,,,,,,,,,,,,,,,,,,
